EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
552175,MARION CO.,COLUMBIA,12/23/2014,1420,EF3,3,50,25000000,0,MS,CST-6, ,91483,C,91,JAN,0,0,NWS Storm Survey, ,12.51,880,2,S,10,E,COLUMBIA MARION ARPT,31.2273,-89.8331,31.3248,-89.6546,"This tornado first touched down just east of the Pearl River just south of Columbia. It quickly became strong and moved northeast impacting the southeast side of Columbia. The tornado remained on the ground through Marion County before lifting as it approached the Lamar County line. Numerous businesses, homes, mobile homes, a National Guard building and power poles and lines were heavily damaged or destroyed by the tornado. One well-built home was mostly destroyed and nearly reduced to a slab. This home received the highest damage rating. Extensive tree damage also occurred along the path of the storm. Maximum wind speed of this tornado was 165mph.","During the afternoon of Dec 23, just enough ingredients came together to support numerous severe storms ahead of a cold front. Across the Lower Mississippi River Valley, peak heating contributed to decent instability in the developing warm sector in advance of the front. Sufficient low level wind shear and strong winds aloft were also in place as a decent upper low was located to our north. This helped to support organized thunderstorm activity along with quite a few supercell storms.||A long lived, persistent, storm tracked across the southeastern counties (near Columbia, Mississippi to Sumrall and Laurel to Heidelberg, Mississippi line) and produced multiple tornadoes. Widespread damage occurred in southern Columbia and near Laurel. Additional damage occurred across Marion, Jones and Clarke counties. Sadly, five confirmed fatalities occurred, with three near Columbia in Marion County and two near Laurel in Jones County. Severe storms moved out of the region by late afternoon to early Tuesday evening. The front continued to track through the area through the evening of December 23.",1
574337,OGLE CO.,CARTHAGE,04/09/2015,1743,EF4,0,0,10000000,0,IL,CST-6, ,95584,C,141,LOT,0,0,NWS Storm Survey, ,20.94,700,5,ESE,3,E,MONROE CENTER,41.8886,-89.2381,42.0947,-88.9392,"This is the second segment of the Rochelle-Fairdale EF-4 tornado.  At its strongest, peak winds were estimated to be 200 mph which occurred during this segment of the storm.  The tornado entered Ogle County just west of IL-38 and moved northeast where it ripped the roof off of a small barn.  A neighborhood was hit on S Skare Court where damage was consistent with EF-3.  Some of the homes had large sections of the roofs ripped off while some less well constructed homes (nails instead of bolts) had collapsed walls.  The tornado continued northeast and intensified to EF-4 where several well constructed homes along South Richard Road and East Kuehl Court were completely destroyed with the slab swept clean.  Several outbuildings were destroyed along East Hemstock Road and South Center Road.  A residence on East Bethal Road received heavy damage with most of the outer walls collapsing.  The tornado once again intensified to EF-4  near IL-251 and IL-64 where well constructed homes were swept clean off their foundation.  A farmstead just northeast of the aforementioned intersection was also swept clean to the foundation.  A heavy barn was thrown and rolled on East Lindenwood Road.  In total, around 30 homes were damaged or destroyed around Rochelle.  The tornado continued into Dekalb County just north of East Quarry Road.  (Tornado 2b of 7).","Seven tornadoes were confirmed in north central Illinois in the NWS Chicago CWA.  Six of the tornadoes formed from a single supercell. The atmosphere was ripe for severe weather due to highly anomalous moisture and instability for early April across the region.  A strong low pressure system advanced into this favorable air mass. Combined with robust wind shear, this helped to trigger these potent storms.  A long tracked violent tornado destroyed numerous homes and farmsteads along its path across north central Lee, eastern Ogle, northwest Dekalb, and southern Boone counties.  This path included the far northwest side of Rochelle, Interstate-39, and a direct hit in the community of Fairdale where two fatalities occurred.  This was the strongest tornado in the NWS Chicago CWA since the F5 tornado that struck Plainfield, IL on August 28th, 1990.",2
574338,DE KALB CO.,FAIRDALE,04/09/2015,1812,EF3,2,11,8000000,0,IL,CST-6, ,95584,C,37,LOT,0,0,NWS Storm Survey, ,4.83,700,1,SW,4,NNE,FAIRDALE,42.0947,-88.9392,42.1529,-88.8869,"This is the third segment of the Rochelle-Fairdale EF-4 tornado.  At its strongest, peak winds were estimated to be 200 mph.  The tornado entered the county just southwest of Fairdale before directly hitting the small community.  Peak winds were estimated at 165 mph in Dekalb County, rating this section of the tornado a high end EF-3.  Approximately 71 homes in the community had been damaged, 17 of which had been completely destroyed with all walls collapsed or removed from the buildings.  Some homes that were only nailed to the foundation were swept clean.  Two fatalities and 11 injuries occurred in Fairdale.  A 67-year-old woman and her neighbor, a 69-year-old woman, were both killed in their homes.  The tornado began to shift north (left) at this point during its lifecycle as it left Fairdale.  Several homes were heavily damaged with large sections of the roofs removed along Wheeler road and dozens of trees were snapped and uprooted.  A few trees were debarked.  The second story was ripped off of a home near the intersection of McNeal Road and Irene Road.  A two-story rebar reinforced cinder block silo was destroyed.  The tornado continued into Boone County just east of Irene Road.  (Tornado 2c of 7).","Seven tornadoes were confirmed in north central Illinois in the NWS Chicago CWA.  Six of the tornadoes formed from a single supercell. The atmosphere was ripe for severe weather due to highly anomalous moisture and instability for early April across the region.  A strong low pressure system advanced into this favorable air mass. Combined with robust wind shear, this helped to trigger these potent storms.  A long tracked violent tornado destroyed numerous homes and farmsteads along its path across north central Lee, eastern Ogle, northwest Dekalb, and southern Boone counties.  This path included the far northwest side of Rochelle, Interstate-39, and a direct hit in the community of Fairdale where two fatalities occurred.  This was the strongest tornado in the NWS Chicago CWA since the F5 tornado that struck Plainfield, IL on August 28th, 1990.",3
581795,GRADY CO.,AMBER,05/06/2015,1533,EF3,0,0,0,0,OK,CST-6, ,96007,C,51,OUN,0,0,NWS Storm Survey, ,10.3,1500,4,E,3,NNE,BRIDGE CREEK,35.1576,-97.8032,35.2664,-97.6984,"A large tornado developed east of Amber and moved slowly northeast near or along Interstate 44, then turned north impacting the community of Bridge Creek. The most intense damage occurred just east of the Interstate 44 and H.E. Bailey Turnpike Spur near Bridge Creek where EF3 damage was observed to a home (DI 2, DOD 7) and a mobile home (DI 4, DOD 12). A pickup truck was also thrown for several hundred yards in this area. Numerous homes and other buildings were damaged along the tornado path.","A potent Spring storm system took shape across the Southern and Central Plains. Strong surface cyclogenesis took shape during the day, allowing ample moisture to return northward with strong southerly flow. At the same time, a strong upper level shortwave trough allowed strong mid level westerlies to overspread much of the Plains region. With large instability and wind shear, the stage was set for widespread severe storm development. Storms initiated within the open warm sector ahead of the dryline. The first storm developed near Lawton and moved northeast along I-44 into parts of central Oklahoma, resulting in several tornadoes and large hail. Additional supercells spawned tornadoes across northern Oklahoma, and the slow moving nature of storms lead to several occurrences of flash flooding. Storms continued well into the night.",4
565780,SEDGWICK CO.,MT HOPE,05/06/2015,1549,EF3,0,1,600000,0,KS,CST-6, ,94074,C,173,ICT,0,0,Trained Spotter, ,5.22,125,2,SSE,4,NE,MT HOPE,37.8404,-97.6507,37.912,-97.6203,"Tornado touched down in an open field and quickly grew in strength as it moved slightly east of north.  The tornado damaged 3 center pivot irrigation systems and caused damage at a farmstead by demolishing a single car detached garage and ripped off a carport that was attached to a barn.  As the tornado moved on to the north, it encountered another farmstead.  One house was directly in the path of the tornado and was completely leveled with nothing left standing (DI2 DOD9).  The home was built in the late 1800's and was not secured to the foundation.  Another home just to the northwest of the main home sustained significant damage to the southeast corner by taking down two small sections of the home.  Another barn on the property was a complete loss and the trees experienced significant limb loss and some debarkation. One minor injury was reported.  The person affected refused treatment. The tornado was 125 yards wide. This tornado moved into Harvey County.","A modest dryline developed  across South Central and Central Kansas during the afternoon hours of May 6th, 2015.  Moderate instability and shear combined to produce supercell thunderstorms across South Central Kansas and Central Kansas. |The supercell thunderstorms produced some large hail, but also produced five  tornadoes across the area.  One of the tornadoes was rated an EF3, with another rated an EF2.",5
565935,REPUBLIC CO.,NEW TABOR,05/06/2015,1814,EF3,0,0,0,0,KS,CST-6, ,94098,C,157,TOP,0,0,NWS Storm Survey, ,1.87,100,4,SSW,3,S,NEW TABOR,39.8584,-97.5478,39.8785,-97.5243,"This strong but brief tornado touched down shortly before destroying a home around 715pm CDT a few miles south of Munden, KS. The tree damage suggested EF3 intensity while some debarking was also noted downwind or to the NE of the home.  The structure itself was pull from the sill plate which had bolts every 6 feet per code. however it appears that an initial failure point was the garage door which faced south and the roof was attached to both the garage and main structure so it appears that a catastrophic failure caused the entire structure to be lifted off its foundation and deposited 50-150 yards to the NE of the foundation.  Two cars in the garage were moved only slightly which indicates below EF4 type intensity in this event.  The tornado must have weakened rapidly since only EF0-1 damage was noted 1/2-1 mile NE of the worst damage.","Approximately 14 tornadoes were documented and confirmed via reports and radar data all occurring during the late afternoon and evening of May 6th.  The tornadoes impacted Republic, Cloud, Washington and Clay Counties.  In fact, 7 tornadoes alone occurred in Republic County.  This was the largest one day outbreak of tornadoes in the past 10 years for NWS Topeka.  The strongest tornado was an EF3 that destroyed a home south of Munden in Republic county.  The longest was over 25 miles in length also across Republic county.",6
581866,OKLAHOMA CO.,VALLEY BROOK,05/06/2015,1941,EF3,0,12,0,0,OK,CST-6, ,96007,C,109,OUN,0,0,NWS Storm Survey, ,2,700,0,NNE,2,NW,VALLEY BROOK,35.4061,-97.4769,35.4209,-97.4994,"A tornado touched down near Southeast 59th Street and Eastern Avenue in Oklahoma City, and moved north along Eastern Avenue, then northwest crossing Interstate 35 near and south of Southeast 44th Street before turning west and dissipating near Southeast 44th Street and Lindsay Avenue. The most significant damage occurred just east of Interstate 35 where a motel sustained significant damage losing most walls on the second floor (DI 6, DOD 8) and significant damage to many recreational vehicles at an adjacent RV park. While not directly related to the tornado, one woman perished while seeking shelter from the tornado in a below ground storm cellar. Heavy rains flooded the cellar, and the woman drowned.","A potent Spring storm system took shape across the Southern and Central Plains. Strong surface cyclogenesis took shape during the day, allowing ample moisture to return northward with strong southerly flow. At the same time, a strong upper level shortwave trough allowed strong mid level westerlies to overspread much of the Plains region. With large instability and wind shear, the stage was set for widespread severe storm development. Storms initiated within the open warm sector ahead of the dryline. The first storm developed near Lawton and moved northeast along I-44 into parts of central Oklahoma, resulting in several tornadoes and large hail. Additional supercells spawned tornadoes across northern Oklahoma, and the slow moving nature of storms lead to several occurrences of flash flooding. Storms continued well into the night.",7
575796,EASTLAND CO.,NIMROD,05/09/2015,1532,EF3,1,2,300000,100000,TX,CST-6, ,94848,C,133,FWD,0,0,NWS Storm Survey, ,3.79,1400,3,NE,5,SSE,CISCO,32.3032,-99.0133,32.3098,-98.9489,"A National Weather Service storm survey crew found evidence of EF-3 damage to the south of the city of Cisco. The tornado began as a small funnel, just west of State Highway 206, before making a slow trek eastward. As the tornado grew, the damage occurred to several buildings along U.S. 183. One house was completely destroyed, along with a mobile home just to the south of the main house. Two cars, one tractor, and several farm implements were tossed over one mile to the east with this tornado.","An active Spring weather pattern led to numerous severe thunderstorms, many of which produced tornadoes, across north Texas during Mother's Day Weekend. The prolonged period of strong to severe storms was made possible by a slow-moving upper level low pressure system which moved east from the Rockies through the Southern Plains. Activity began on Friday and continued through Mother's Day evening.",8
570339,VAN ZANDT CO.,PRIMROSE,05/10/2015,1946,EF3,2,43,40000000,0,TX,CST-6, ,94848,C,467,FWD,0,0,NWS Storm Survey, ,10.22,700,2,SW,3,NNE,VAN,32.4095,-95.619,32.5569,-95.6329,"A NWS storm survey team found EF-3 damage in the city of Van. This tornado began near highway 64, near Edom before moving in a northerly direction. The storm crossed Interstate 20 on the southeast side of Van, before carving a destructive path over the eastern side of the city. The greatest damage was done in a housing development to the north of the public school administration building, where over 50 homes were damaged or destroyed. Two fatalities occurred with this tornado, as a married couple was apparently asleep in their mobile home when the tornado hit.","An active Spring weather pattern led to numerous severe thunderstorms, many of which produced tornadoes, across north Texas during Mother's Day Weekend. The prolonged period of strong to severe storms was made possible by a slow-moving upper level low pressure system which moved east from the Rockies through the Southern Plains. Activity began on Friday and continued through Mother's Day evening.",9
582231,JACKSON CO.,ELMER,05/16/2015,1643,EF3,0,0,0,0,OK,CST-6, ,96468,C,65,OUN,0,0,NWS Storm Survey, ,9.6,1600,3,S,4,SSE,HUMPHREYS,34.4363,-99.3502,34.5055,-99.2079,"The tornado moved back into Jackson County from Wilbarger County Texas and moved across the southeast section of the county. Damage to trees, metal buildings and outbuildings were observed along US Highway 283 to the southeast of Elmer. Damage to homes and trees continued to be observed as the tornado moved east-northeast. The most significant damage was observed 3 to 4 miles east of Elmer (DI 1, DOD 8; DI 2, DOD 6; DI 21, DOD 7; DI 27, DOD 5). The tornadic motion seen on videos and the radar presentation indicate that this likely was a violent tornado through southeast Jackson County, although only EF3 damage was observed as the tornado moved through this relatively sparsely populated area. KFDR radar measured 115 knot gate-to-gate rotational velocity when the tornado was east of Elmer. The tornado continued east-northeast moving into Tillman County about 4 miles west of Tipton.","With an upper low traversing the region, a cold front stationed over the panhandles, and a developing dryline, storms developed out in the panhandles early on the 16th and made their way eastward across Oklahoma through the day. Toward evening, when the severe weather occurred, the front surged eastward with a line of storms forming along it.",10
